####################
## BD Rhapsody Sequence Analysis Pipeline Version 2.0rc1
## Analysis Date - Sat May 27 2023 17:22:38 GMT+0000 (Coordinated Universal Time)
## Libraries - 16HIRP - Bead version detected: Enhanced
## References - BD_Rhapsody_Immune_Response_Panel_Hs.fasta
## Parameters - Sample Tag Version: None | Sample Tag Names:  | VDJ Version: None | Putative Cell Calling Type: mRNA | Refined Putative Cell Calling: On | Exclude Intronic Reads: Off | Generate Bam: Off | Exact Cell Count: None | Expected Cell Count: None
####################
Bioproduct,Raw_Reads,Raw_Molecules,Raw_Seq_Depth,RSEC_Adjusted_Molecules,RSEC_Adjusted_Reads_non-singleton,RSEC_Adjusted_Molecules_non-singleton,RSEC_Adjusted_Seq_Depth,DBEC_Adjusted_Reads,DBEC_Adjusted_Molecules,DBEC_Minimum_Depth,DBEC_Adjusted_Seq_Depth,DBEC_Depth_Status
IL3RA,28592,3055,9.36,2611,28448,2467,10.95,26898,2031,5.148976510902815,13.24,pass
IL4,15,6,2.5,5,12,2,3.0,9,1,4.384644035791332,9.0,pass
IL4R,199697,19186,10.41,16149,198801,15253,12.37,190819,13023,5.8625976830465385,14.65,pass
IL5,10,8,1.25,8,4,2,1.25,10,8,0,1.25,low_depth
IL6,803,93,8.63,81,797,75,9.91,747,60,5.776143799760003,12.45,pass
IL7R,587922,58058,10.13,49861,584993,46932,11.79,559597,39770,5.523528954808802,14.07,pass
IL9,0,0,0,0,0,0,0,0,0,0,0,not_detected
IRF4,31942,3201,9.98,2772,31731,2561,11.52,30254,2133,5.538974597381241,14.18,pass
IRF8,351328,34449,10.2,29912,349674,28258,11.75,334033,23905,5.691981301904094,13.97,pass
ITGA4,109457,22531,4.86,21280,106495,18318,5.14,93011,12932,3.8145225836753065,7.19,pass
ITGAE,132360,11967,11.06,10282,131804,9726,12.87,127572,8531,5.903699412359655,14.95,pass
ITGAM,326218,32516,10.03,27948,324593,26323,11.67,309275,22010,5.265643020101556,14.05,pass
ITGAX,342801,36678,9.35,32206,340046,29451,10.64,317299,22804,5.265643020101556,13.91,pass
ITGB2,3173479,319584,9.93,276035,3154347,256903,11.5,2999983,212700,5.982264919234643,14.1,pass
JCHAIN,752630,89025,8.45,71721,747629,66720,10.49,718251,56995,4.747965743354563,12.6,pass
JUN,806222,93294,8.64,82422,798284,74484,9.78,735110,56135,5.739049404288043,13.1,pass
JUNB,142118,29957,4.74,28238,135311,21431,5.03,86787,7700,6.033826261550658,11.27,pass
KCNE3,260391,24668,10.56,21184,259196,19989,12.29,248481,16998,5.611267538477941,14.62,pass
KDELR1,42943,6159,6.97,5642,42448,5147,7.61,38499,3830,4.6119855441421596,10.05,pass
KIAA0101,3431,720,4.77,667,3273,509,5.14,2449,243,5.238505585542598,10.08,pass
KIR2DL1,17717,2012,8.81,1789,17583,1655,9.9,16247,1261,5.037574466719044,12.88,pass
KIT,1429,166,8.61,146,1418,135,9.79,1323,108,5.686757095776278,12.25,pass
KLRB1,210617,24655,8.54,21852,209133,20368,9.64,198675,16925,4.78666660755408,11.74,pass
KLRC1,65458,7141,9.17,6308,65057,5907,10.38,60653,4649,5.903699412359655,13.05,pass
KLRC3,31047,4010,7.74,3573,30699,3225,8.69,28557,2514,4.404631889787132,11.36,pass
KLRC4,6511,1129,5.77,1060,6272,821,6.14,5382,511,4.726985571931373,10.53,pass
KLRF1,125092,12140,10.3,10632,124525,10065,11.77,116408,8099,6.5179245180860805,14.37,pass
KLRG1,51200,5536,9.25,4839,50797,4436,10.58,48978,3821,4.924780705661989,12.82,pass
KLRK1,249379,33368,7.47,30140,247075,27836,8.27,229221,21994,4.7829043077212905,10.42,pass
LAG3,5591,1016,5.5,961,5396,766,5.82,4147,376,5.555923207995616,11.03,pass
LAIR2,4989,504,9.9,449,4969,429,11.11,4664,345,5.09692208984784,13.52,pass
LAMP1,417629,44884,9.3,39305,414084,35760,10.63,387406,27909,5.9589012720993155,13.88,pass
LAMP3,1157,108,10.71,98,1149,90,11.81,1122,82,4.262532160539715,13.68,pass
LAP3,194874,18605,10.47,16225,193878,15229,12.01,185473,12882,5.8477575435888385,14.4,pass
LAT,235713,20469,11.52,17280,234717,16284,13.64,228413,14510,5.741656577759074,15.74,pass
LAT2,127739,25284,5.05,23606,124674,20541,5.41,87602,9873,5.106661398917261,8.87,pass
LCK,244446,33622,7.27,29910,241553,27017,8.17,221865,20472,4.342783468078805,10.84,pass
LEF1,178618,17815,10.03,15575,177605,14562,11.47,172257,12796,4.924780705661989,13.46,pass
LGALS1,2688916,229455,11.72,189879,2676821,177784,14.16,2608392,158119,5.982264919234643,16.5,pass
LGALS3,368449,50335,7.32,44882,364451,40884,8.21,322444,28940,5.089645620214976,11.14,pass
LGALS9,210923,27085,7.79,24238,208226,21541,8.7,193987,16662,4.827207355368433,11.64,pass
LIF,262,30,8.73,28,258,24,9.36,228,16,6.621728208507398,14.25,pass
LILRB4,75207,16418,4.58,15527,70503,10823,4.84,50915,4409,5.3794649823956515,11.55,pass
LIPA,287081,28804,9.97,25033,285765,23717,11.47,278047,21208,4.747674067666953,13.11,pass
LRRC32,233,20,11.65,18,233,18,12.94,233,18,0,12.94,pass
LTA,8574,1113,7.7,993,8485,904,8.63,7591,643,5.037574466719044,11.81,pass
LTB,7807,1092,7.15,995,7699,887,7.85,7047,666,4.853024680612617,10.58,pass
LY86,215283,29743,7.24,26960,213284,24961,7.99,196175,19364,4.997131845951166,10.13,pass
LYN,465641,50209,9.27,44671,462767,41797,10.42,444128,35631,4.7877174521061665,12.46,pass
MCM2,14057,1398,10.06,1222,13923,1088,11.5,13232,892,5.538974597381241,14.83,pass
MCM4,5747,1011,5.68,918,5581,752,6.26,3247,211,8.207708163489272,15.39,pass
MGST1,175419,18500,9.48,16374,174430,15385,10.71,158636,11532,6.711675873047929,13.76,pass
MITF,6939,972,7.14,869,6881,811,7.99,5963,556,5.146459462133433,10.72,pass
MKI67,422,75,5.63,68,413,59,6.21,349,37,5.1087615609263395,9.43,pass
MME,195,42,4.64,39,181,25,5.0,167,19,4.434531739679026,8.79,pass
MMP12,5,1,5.0,1,5,1,5.0,5,1,0,5.0,pass
MMP9,0,0,0,0,0,0,0,0,0,0,0,not_detected
MS4A1,132460,14791,8.96,13025,131467,12032,10.17,125595,10107,4.833409934265526,12.43,pass
MYC,126668,14611,8.67,12952,125492,11776,9.78,115201,8823,5.791048182228515,13.06,pass
MZB1,131108,11391,11.51,9534,130540,8966,13.75,126664,7873,5.739049404288043,16.09,pass
NAMPT,205317,22406,9.16,19923,203571,18177,10.31,190137,14329,5.09913320937438,13.27,pass
NCAM1,937,110,8.52,101,930,94,9.28,792,60,6.178485755000899,13.2,pass
NCR3,43466,4226,10.29,3582,43265,3381,12.13,41306,2839,5.538974597381241,14.55,pass
NINJ2,67174,6299,10.66,5331,66923,5080,12.6,63442,4254,6.9519516453838035,14.91,pass
NKG7,1475101,156643,9.42,136199,1466474,127572,10.83,1412583,109906,4.875959235724009,12.85,pass
NRP1,1903,238,8.0,214,1884,195,8.89,1680,138,5.037783585148287,12.17,pass
NT5E,15197,1688,9.0,1479,15106,1388,10.28,14508,1186,4.837834921882773,12.23,pass
PASK,35056,7858,4.46,7446,32903,5293,4.71,21024,1671,6.6636164822703385,12.58,pass
PAX5,20252,2105,9.62,1856,20129,1733,10.91,19535,1540,4.641839812908958,12.69,pass
PCNA,46998,5802,8.1,5220,46406,4628,9.0,43508,3669,4.581533886917807,11.86,pass
PDCD1,16,4,4.0,4,15,3,4.0,8,1,5.8827276309258485,8.0,pass
PDIA4,68358,9111,7.5,8259,67377,7278,8.28,59085,4837,5.538974597381241,12.22,pass
PDIA6,56371,14171,3.98,13405,52594,9628,4.21,39036,4855,4.492395634481295,8.04,pass
PI3,8,2,4.0,2,8,2,4.0,8,2,0,4.0,pass
PIK3AP1,284145,30401,9.35,26613,282733,25201,10.68,266999,20829,5.294227101604213,12.82,pass
PIK3IP1,381698,35725,10.68,30565,380106,28973,12.49,366205,25091,5.56766414098392,14.6,pass
PMCH,394,30,13.13,26,394,26,15.15,394,26,0,15.15,pass
POU2AF1,25772,5236,4.92,4889,25110,4227,5.27,17207,1892,5.299320995133313,9.09,pass
PRDM1,85857,9596,8.95,8387,85220,7750,10.24,79633,6169,5.3247166888585955,12.91,pass
PRF1,320534,31611,10.14,27010,318862,25338,11.87,303367,20955,5.981041322489378,14.48,pass
PSEN1,33844,5120,6.61,4704,33499,4359,7.19,30239,3315,4.822690983268625,9.12,pass
PTGDR2,6638,743,8.93,649,6600,611,10.23,6371,538,4.49454136620943,11.84,pass
PTPRC,614262,75360,8.15,67788,604813,58339,9.06,551506,42241,5.56766414098392,13.06,pass
PTTG2,3508,581,6.04,546,3410,448,6.42,3004,298,4.670030164992985,10.08,pass
QPCT,82288,8782,9.37,7683,81758,7153,10.71,74348,5339,6.583334277619985,13.93,pass
RGS1,86811,8887,9.77,7868,86326,7383,11.03,81799,6112,5.56766414098392,13.38,pass
RNASE2,189904,18700,10.16,16083,188956,15135,11.81,180647,12801,5.641658197192943,14.11,pass
RNASE6,321078,36860,8.71,32798,318584,30304,9.79,291666,22627,5.590664131267353,12.89,pass
RORA,27956,3804,7.35,3447,27342,2833,8.11,24427,1936,5.056941526518332,12.62,pass
RORC,9731,914,10.65,781,9698,748,12.46,8884,578,7.141260875696314,15.37,pass
RPN2,94060,26924,3.49,25882,86649,18471,3.63,54037,6759,4.837834921882773,7.99,pass
RUNX3,304102,30637,9.93,26606,302587,25091,11.43,281250,19995,6.41117414395514,14.07,pass
S100A10,2426329,249228,9.74,216328,2413107,203106,11.22,2272298,163743,5.396907469988443,13.88,pass
S100A12,2199332,208949,10.53,177056,2191194,168918,12.42,2121429,149810,5.736600435830205,14.16,pass
S100A9,2530691,573613,4.41,528175,2389907,387391,4.79,1654467,152100,5.647343631590548,10.88,pass
SELL,1223148,112939,10.83,95688,1218279,90819,12.78,1178287,79758,5.195464855696808,14.77,pass
SELPLG,682608,81036,8.42,70280,677693,65365,9.71,648818,55852,4.78666660755408,11.62,pass
SLC25A37,9035,3193,2.83,3080,7615,1660,2.93,4751,556,4.967547134399212,8.54,pass
SLC7A7,186022,32148,5.79,29476,182755,26209,6.31,156890,17600,4.404631889787132,8.91,pass
SNCA,21665,2878,7.53,2590,21465,2390,8.36,18992,1687,5.174249450521301,11.26,pass
SPP1,11,2,5.5,2,11,2,5.5,11,2,0,5.5,pass
STAT1,5689,1779,3.2,1731,4868,910,3.29,3160,295,5.779807012932784,10.71,pass
STAT3,93707,14518,6.45,13373,92131,11797,7.01,76305,7146,5.155267555526202,10.68,pass
STAT4,48937,5152,9.5,4526,48554,4143,10.81,45663,3311,5.538974597381241,13.79,pass
STAT5A,136771,12947,10.56,11176,136188,10593,12.24,130602,9036,5.590664131267353,14.45,pass
STAT6,72499,10624,6.82,9451,70788,7740,7.67,62703,5373,5.294227101604213,11.67,pass
